account_id,cliente,cpf,agencia,saldo_inicial,status_conta,perfil_risco_cliente,limite_diario
ACC00001,Bruno Santos,644.806.205-97,7849,2739.09,ATIVA,BAIXO,10213.75
ACC00002,Carla Souza,764.854.420-58,1574,8027.31,ATIVA,MEDIO,9831.36
ACC00003,Bruno Teixeira,486.771.344-05,2388,5365.47,ATIVA,ALTO,9156.9
ACC00004,Patricia Gomes,047.141.643-25,7027,7107.66,ATIVA,MEDIO,8840.62
ACC00005,Natalia Silva,488.382.266-18,2798,3869.27,ATIVA,BAIXO,18071.39
ACC00006,Elisa Santos,545.501.214-66,5239,800.64,ATIVA,BAIXO,14509.12
ACC00007,Bruno Oliveira,736.034.922-49,8679,1312.96,ATIVA,BAIXO,8399.45
ACC00008,Gabriela Ribeiro,155.796.444-83,2502,2626.09,ATIVA,MEDIO,12354.11
ACC00009,Marcos Costa,959.146.441-32,3713,3388.88,ATIVA,BAIXO,4273.14
ACC00010,Felipe Teixeira,394.642.792-72,7451,1571.43,ATIVA,BAIXO,22711.16
ACC00011,Carla Martins,727.385.514-80,7825,2260.76,ATIVA,BAIXO,15226.3
ACC00012,Bruno Ribeiro,607.470.141-36,2300,13588.41,ATIVA,BAIXO,23240.32
ACC00013,Rafael Pereira,436.520.194-44,8043,7741.21,ATIVA,BAIXO,23538.92
ACC00014,Carla Pereira,548.293.558-42,1194,9503.18,BLOQUEADA,BAIXO,14519.85
ACC00015,Felipe Barbosa,661.226.779-73,1969,2323.04,ATIVA,BAIXO,14539.03
ACC00016,Isabela Gomes,384.893.296-26,5634,3509.8,BLOQUEADA,BAIXO,2555.4
ACC00017,Elisa Lima,991.807.882-81,5669,11794.65,ATIVA,BAIXO,10280.96
ACC00018,Patricia Barbosa,773.209.920-10,8479,3097.75,ATIVA,BAIXO,22052.21
ACC00019,Ana Dias,239.739.454-19,1125,12922.61,ATIVA,BAIXO,4363.06
ACC00020,Elisa Oliveira,967.541.880-70,7650,3742.72,ATIVA,ALTO,10843.09
ACC00021,Rafael Ferreira,145.639.529-94,1223,4528.96,ATIVA,BAIXO,4797.98
ACC00022,Marcos Lima,091.519.784-46,8062,4836.97,ATIVA,MEDIO,20225.2
