transaction_id,account_id,destino_id,tipo,valor,data_hora,canal,cliente,cpf,agencia,saldo_inicial,status_conta,perfil_risco_cliente,limite_diario,motivo,status_processamento,impacto_financeiro,valor_acima_limite,conta_invalida,conta_bloqueada,horario_sensivel,duplicada,risk_score,nivel_risco,prioridade_auditoria
TRX0000542,ACC00056,,BOLETO,16438.84,2026-04-25T02:25:37,ATM,Bruno Barbosa,578.465.964-91,9860.0,4555.69,ATIVA,MEDIO,9642.58,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,True,False,68.92,ALTO,ATENCAO
TRX0001603,ACC00039,,DEPOSITO,4388.69,2026-03-16T01:42:37,ATM,Natalia Dias,092.690.001-08,6452.0,1133.62,ATIVA,MEDIO,2844.95,APROVADA,APROVADA,4388.69,True,False,False,True,False,68.46,ALTO,ATENCAO
TRX0000415,ACC00083,,CARTAO,467.05,2026-05-04T02:14:37,INTERNET_BANKING,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,66.28,ALTO,ATENCAO
TRX0002358,ACC00083,,BOLETO,171.7,2026-04-29T17:21:37,CAIXA,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,64.06,ALTO,ATENCAO
TRX0000600,ACC00083,,BOLETO,1252.96,2026-05-12T07:15:37,CAIXA,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,63.38,ALTO,ATENCAO
TRX0001222,ACC00037,,BOLETO,917.47,2026-04-12T02:59:37,CAIXA,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,63.21,ALTO,ATENCAO
TRX0001440,ACC00075,ACC00061,PIX,40521.06,2026-03-07T01:35:37,ATM,Bruno Souza,451.612.704-51,3652.0,5177.81,ATIVA,BAIXO,15499.27,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,True,False,63.1,ALTO,ATENCAO
TRX0000920,ACC00083,,BOLETO,51.32,2026-04-15T04:17:37,APP,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,63.0,ALTO,ATENCAO
TRX0000497,ACC00037,ACC00063,TED,1383.58,2026-04-04T03:20:37,ATM,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,62.89,ALTO,ATENCAO
TRX0001615,ACC00037,,DEPOSITO,1005.14,2026-04-02T03:01:37,INTERNET_BANKING,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,62.51,ALTO,ATENCAO
TRX0001873,ACC00055,ACC00009,PIX,3326.42,2026-04-13T05:41:37,ATM,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,62.33,ALTO,ATENCAO
TRX0001305,ACC00020,ACC00075,PIX,11320.13,2026-04-28T13:22:37,APP,Elisa Oliveira,967.541.880-70,7650.0,3742.72,ATIVA,ALTO,10843.09,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,62.18,ALTO,ATENCAO
TRX0000892,ACC00004,ACC00045,PIX,10409.91,2026-03-07T00:05:37,APP,Patricia Gomes,047.141.643-25,7027.0,7107.66,ATIVA,MEDIO,8840.62,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,True,False,61.93,ALTO,ATENCAO
TRX0001692,ACC00085,ACC00069,PIX,51242.88,2026-03-31T03:40:37,APP,Henrique Costa,183.557.728-38,4643.0,3993.0,ATIVA,BAIXO,23626.16,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,True,False,61.93,ALTO,ATENCAO
TRX0001227,ACC00083,,BOLETO,1872.59,2026-04-14T16:10:37,ATM,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,61.88,ALTO,ATENCAO
TRX0002113,ACC00083,ACC00002,PIX,310.17,2026-05-02T01:44:37,INTERNET_BANKING,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,61.23,ALTO,ATENCAO
TRX0002391,ACC00048,ACC00067,PIX,907.81,2026-05-27T04:39:37,CAIXA,Gabriela Silva,784.371.266-15,4283.0,2232.45,ENCERRADA,MEDIO,8807.6,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,59.99,ALTO,ATENCAO
TRX0002343,ACC00048,ACC00057,PIX,893.15,2026-04-11T00:04:37,CAIXA,Gabriela Silva,784.371.266-15,4283.0,2232.45,ENCERRADA,MEDIO,8807.6,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,59.96,ALTO,ATENCAO
TRX0000519,ACC00083,ACC00075,PIX,572.67,2026-05-12T03:52:37,APP,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,58.33,MEDIO,ATENCAO
TRX0001577,ACC00037,ACC00055,TED,233.0,2026-04-17T05:24:37,INTERNET_BANKING,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,58.19,MEDIO,ATENCAO
TRX0002052,ACC00055,,DEPOSITO,1124.82,2026-05-23T02:54:37,APP,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,57.63,MEDIO,ATENCAO
TRX0001522,ACC00037,,BOLETO,1231.34,2026-04-18T03:28:37,INTERNET_BANKING,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,57.19,MEDIO,ATENCAO
TRX0002436,ACC00048,,SAQUE,954.38,2026-04-13T01:52:37,APP,Gabriela Silva,784.371.266-15,4283.0,2232.45,ENCERRADA,MEDIO,8807.6,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,56.9,MEDIO,ATENCAO
TRX0000404,ACC00048,,SAQUE,813.39,2026-05-14T00:44:37,APP,Gabriela Silva,784.371.266-15,4283.0,2232.45,ENCERRADA,MEDIO,8807.6,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,56.59,MEDIO,ATENCAO
TRX0001413,ACC00083,,DEPOSITO,359.57,2026-03-29T23:06:37,APP,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,56.49,MEDIO,ATENCAO
TRX0002201,ACC00071,ACC00115,PIX,20390.94,2026-03-24T09:14:37,APP,Diego Pereira,684.028.564-18,7955.0,1629.75,ATIVA,MEDIO,12179.75,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,56.15,MEDIO,ATENCAO
TRX0001631,ACC00111,,DEPOSITO,1629.28,2026-05-30T04:38:37,INTERNET_BANKING,Natalia Ferreira,151.345.668-03,1009.0,1054.95,BLOQUEADA,BAIXO,5541.07,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,55.75,MEDIO,ATENCAO
TRX0001214,ACC00005,ACC00007,TED,137291.58,2026-04-16T22:16:37,CAIXA,Natalia Silva,488.382.266-18,2798.0,3869.27,ATIVA,BAIXO,18071.39,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,55.0,MEDIO,ATENCAO
TRX0000821,ACC00037,ACC00074,TED,125.8,2026-04-03T04:44:37,APP,Marcos Silva,429.434.035-97,8030.0,1020.97,ENCERRADA,MEDIO,8171.85,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,54.8,MEDIO,ATENCAO
TRX0002293,ACC00111,ACC00004,TED,905.07,2026-05-29T05:33:37,CAIXA,Natalia Ferreira,151.345.668-03,1009.0,1054.95,BLOQUEADA,BAIXO,5541.07,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,54.68,MEDIO,ATENCAO
TRX0000353,ACC00048,,DEPOSITO,965.18,2026-04-21T14:57:37,ATM,Gabriela Silva,784.371.266-15,4283.0,2232.45,ENCERRADA,MEDIO,8807.6,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,54.45,MEDIO,ATENCAO
TRX0001515,ACC00055,,BOLETO,142.85,2026-04-15T14:38:37,CAIXA,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,54.16,MEDIO,ATENCAO
TRX0002163,ACC00055,,CARTAO,147.37,2026-03-22T09:59:37,CAIXA,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,54.12,MEDIO,ATENCAO
TRX0002496,ACC00091,ACC00042,TED,34851.41,2026-03-07T10:19:37,CAIXA,Larissa Santos,822.954.267-05,9939.0,2892.14,ATIVA,BAIXO,4532.21,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,53.99,MEDIO,ATENCAO
TRX0001867,ACC00047,,SAQUE,5534.79,2026-04-17T17:40:37,APP,Gabriela Martins,010.088.800-25,4006.0,2757.82,ATIVA,MEDIO,1845.05,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,53.86,MEDIO,ATENCAO
TRX0002431,ACC00055,ACC00074,TED,784.73,2026-04-18T04:28:37,APP,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,53.71,MEDIO,ATENCAO
TRX0001041,ACC00055,,CARTAO,301.15,2026-03-13T17:00:37,CAIXA,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,53.65,MEDIO,ATENCAO
TRX0000771,ACC00055,ACC00091,TED,755.42,2026-05-13T04:26:37,APP,Carla Rocha,567.986.849-76,9129.0,416.16,ENCERRADA,MEDIO,21869.83,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,True,False,53.6,MEDIO,ATENCAO
TRX0000834,ACC00105,,CARTAO,50907.78,2026-05-30T14:46:37,INTERNET_BANKING,Carla Martins,282.158.903-13,5804.0,1495.53,ATIVA,BAIXO,11753.44,SALDO_INSUFICIENTE,REJEITADA,0.0,True,False,False,False,False,53.29,MEDIO,ATENCAO
TRX0000424,ACC00083,,CARTAO,1221.94,2026-03-09T15:12:37,APP,Bruno Teixeira,266.481.221-23,7882.0,3550.4,BLOQUEADA,ALTO,24585.62,CONTA_BLOQUEADA_OU_ENCERRADA,REJEITADA,0.0,False,False,True,False,False,53.19,MEDIO,ATENCAO
