transaction_id,account_id,destino_id,tipo,valor,data_hora,canal,cliente,cpf,agencia,saldo_inicial,status_conta,perfil_risco_cliente,limite_diario,motivo,status_processamento,impacto_financeiro,valor_acima_limite,conta_invalida,conta_bloqueada,horario_sensivel,duplicada,risk_score,nivel_risco
TRX0000001,ACC00004,ACC00032,PIX,2253.1,2026-04-16T06:45:37,APP,Patricia Gomes,047.141.643-25,7027.0,7107.66,ATIVA,MEDIO,8840.62,APROVADA,APROVADA,2253.1,False,False,False,False,False,10.96,BAIXO
TRX0000002,ACC00095,,SAQUE,568.74,2026-04-25T21:21:37,APP,Henrique Martins,218.036.167-63,1177.0,1198.31,ATIVA,MEDIO,21724.81,APROVADA,APROVADA,568.74,False,False,False,False,False,15.91,BAIXO
TRX0000003,ACC00012,,BOLETO,1431.51,2026-04-10T21:56:37,APP,Bruno Ribeiro,607.470.141-36,2300.0,13588.41,ATIVA,BAIXO,23240.32,APROVADA,APROVADA,1431.51,False,False,False,False,False,4.52,BAIXO
TRX0000004,ACC00028,ACC00078,PIX,60.87,2026-05-07T02:16:37,INTERNET_BANKING,Felipe Santos,576.667.718-53,5627.0,13688.93,ATIVA,BAIXO,16529.74,APROVADA,APROVADA,60.87,False,False,False,True,False,15.34,BAIXO
TRX0000005,ACC00026,ACC00090,PIX,191.89,2026-04-20T08:19:37,APP,Natalia Lima,839.578.785-04,2633.0,45829.14,ATIVA,BAIXO,11282.17,APROVADA,APROVADA,191.89,False,False,False,False,False,0.73,BAIXO
TRX0000006,ACC00029,,BOLETO,1853.2,2026-03-06T17:01:37,INTERNET_BANKING,Diego Ferreira,014.414.623-35,4297.0,2708.98,ATIVA,MEDIO,8476.6,APROVADA,APROVADA,1853.2,False,False,False,False,False,18.32,BAIXO
TRX0000007,ACC00001,,CARTAO,178.74,2026-03-16T04:22:37,APP,Bruno Santos,644.806.205-97,7849.0,2739.09,ATIVA,BAIXO,10213.75,APROVADA,APROVADA,178.74,False,False,False,True,False,15.26,BAIXO
TRX0000008,ACC00044,,CARTAO,1476.69,2026-04-27T16:05:37,APP,Bruno Ferreira,647.646.941-48,2958.0,563.58,ATIVA,BAIXO,11332.4,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,5.63,BAIXO
TRX0000009,ACC00044,,BOLETO,1128.25,2026-05-07T12:20:37,APP,Bruno Ferreira,647.646.941-48,2958.0,563.58,ATIVA,BAIXO,11332.4,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,False,False,4.11,BAIXO
TRX0000010,ACC00109,,BOLETO,259.2,2026-04-04T11:35:37,APP,Carla Souza,999.841.624-69,3601.0,937.68,ATIVA,BAIXO,20970.85,APROVADA,APROVADA,259.2,False,False,False,False,False,3.25,BAIXO
TRX0000011,ACC00094,ACC00016,PIX,420.64,2026-05-17T23:29:37,ATM,Marcos Gomes,773.485.175-57,9162.0,7641.72,ATIVA,BAIXO,11091.68,APROVADA,APROVADA,420.64,False,False,False,False,False,7.78,BAIXO
TRX0000012,ACC00049,,SAQUE,1860.86,2026-04-26T01:00:37,APP,Natalia Rocha,177.396.306-27,5725.0,6644.16,ATIVA,MEDIO,24744.63,APROVADA,APROVADA,1860.86,False,False,False,True,False,29.51,MEDIO
TRX0000013,ACC00080,,BOLETO,1699.26,2026-05-14T15:43:37,APP,Henrique Almeida,299.387.986-36,3871.0,63638.14,ATIVA,BAIXO,15641.71,APROVADA,APROVADA,1699.26,False,False,False,False,False,4.74,BAIXO
TRX0000014,ACC00091,ACC00085,PIX,2522.01,2026-03-23T15:43:37,ATM,Larissa Santos,822.954.267-05,9939.0,2892.14,ATIVA,BAIXO,4532.21,APROVADA,APROVADA,2522.01,False,False,False,False,False,13.01,BAIXO
TRX0000015,ACC00038,,CARTAO,338.25,2026-03-12T12:17:37,APP,Natalia Silva,016.906.166-06,9072.0,5866.76,ATIVA,BAIXO,19754.05,APROVADA,APROVADA,338.25,False,False,False,False,False,3.89,BAIXO
TRX0000016,ACC00013,,BOLETO,481.03,2026-04-20T22:19:37,APP,Rafael Pereira,436.520.194-44,8043.0,7741.21,ATIVA,BAIXO,23538.92,APROVADA,APROVADA,481.03,False,False,False,False,False,2.72,BAIXO
TRX0000017,ACC00047,,SAQUE,654.04,2026-04-23T15:00:37,APP,Gabriela Martins,010.088.800-25,4006.0,2757.82,ATIVA,MEDIO,1845.05,APROVADA,APROVADA,654.04,False,False,False,False,False,16.24,BAIXO
TRX0000018,ACC00035,ACC00088,PIX,180.24,2026-04-11T23:34:37,ATM,Felipe Costa,910.954.731-71,5976.0,1737.1,ATIVA,BAIXO,10344.45,APROVADA,APROVADA,180.24,False,False,False,False,False,8.72,BAIXO
TRX0000019,ACC00078,,BOLETO,6150.12,2026-05-30T02:17:37,INTERNET_BANKING,Felipe Teixeira,216.198.992-23,5227.0,681.53,ATIVA,BAIXO,13649.96,SALDO_INSUFICIENTE,REJEITADA,0.0,False,False,False,True,False,25.77,BAIXO
TRX0000020,ACC00021,ACC00035,PIX,1145.75,2026-04-26T09:34:37,APP,Rafael Ferreira,145.639.529-94,1223.0,4528.96,ATIVA,BAIXO,4797.98,APROVADA,APROVADA,1145.75,False,False,False,False,False,0.99,BAIXO
TRX0000021,ACC00082,ACC00029,TED,583.36,2026-04-19T10:45:37,APP,Diego Barbosa,475.832.429-14,5697.0,2150.84,ATIVA,BAIXO,12815.05,APROVADA,APROVADA,583.36,False,False,False,False,False,5.36,BAIXO
TRX0000022,ACC00108,,DEPOSITO,1284.64,2026-03-17T23:44:37,ATM,Rafael Barbosa,703.111.080-36,9912.0,4653.53,ATIVA,BAIXO,10733.58,APROVADA,APROVADA,1284.64,False,False,False,False,False,17.25,BAIXO
TRX0000023,ACC00005,ACC00052,PIX,242.95,2026-03-03T08:10:37,APP,Natalia Silva,488.382.266-18,2798.0,3869.27,ATIVA,BAIXO,18071.39,APROVADA,APROVADA,242.95,False,False,False,False,False,0.26,BAIXO
TRX0000024,ACC00028,,BOLETO,192.39,2026-03-28T23:47:37,APP,Felipe Santos,576.667.718-53,5627.0,13688.93,ATIVA,BAIXO,16529.74,APROVADA,APROVADA,192.39,False,False,False,False,False,3.71,BAIXO
TRX0000025,ACC00041,ACC00064,PIX,1263.21,2026-03-08T22:28:37,CAIXA,Otavio Rocha,010.207.597-65,1490.0,1427.26,ATIVA,MEDIO,18175.09,APROVADA,APROVADA,1263.21,False,False,False,False,False,20.55,BAIXO
TRX0000026,ACC00118,,SAQUE,911.01,2026-05-27T21:36:37,APP,Elisa Ribeiro,353.393.035-03,2494.0,8949.95,ATIVA,BAIXO,14722.8,APROVADA,APROVADA,911.01,False,False,False,False,False,8.9,BAIXO
TRX0000027,ACC00032,,BOLETO,205.02,2026-04-09T19:34:37,APP,Rafael Teixeira,184.547.979-90,3280.0,1218.16,ATIVA,BAIXO,5525.35,APROVADA,APROVADA,205.02,False,False,False,False,False,3.45,BAIXO
TRX0000028,ACC00075,ACC00075,TED,895.29,2026-03-15T04:08:37,INTERNET_BANKING,Bruno Souza,451.612.704-51,3652.0,5177.81,ATIVA,BAIXO,15499.27,APROVADA,APROVADA,895.29,False,False,False,True,False,20.72,BAIXO
TRX0000029,ACC00029,,BOLETO,913.28,2026-05-20T19:23:37,INTERNET_BANKING,Diego Ferreira,014.414.623-35,4297.0,2708.98,ATIVA,MEDIO,8476.6,APROVADA,APROVADA,913.28,False,False,False,False,False,15.77,BAIXO
TRX0000030,ACC00012,ACC00111,PIX,1848.03,2026-05-22T14:12:37,INTERNET_BANKING,Bruno Ribeiro,607.470.141-36,2300.0,13588.41,ATIVA,BAIXO,23240.32,APROVADA,APROVADA,1848.03,False,False,False,False,False,6.8,BAIXO
TRX0000031,ACC00081,,CARTAO,444.56,2026-03-16T15:12:37,APP,Joao Souza,540.133.337-13,2465.0,5337.27,ATIVA,ALTO,7224.52,APROVADA,APROVADA,444.56,False,False,False,False,False,21.55,BAIXO
TRX0000032,ACC00009,,BOLETO,598.44,2026-03-29T09:11:37,INTERNET_BANKING,Marcos Costa,959.146.441-32,3713.0,3388.88,ATIVA,BAIXO,4273.14,APROVADA,APROVADA,598.44,False,False,False,False,False,7.02,BAIXO
TRX0000033,ACC00068,,DEPOSITO,936.1,2026-04-07T21:12:37,APP,Diego Lima,102.148.101-52,5405.0,891.47,ATIVA,MEDIO,21268.29,APROVADA,APROVADA,936.1,False,False,False,False,False,16.92,BAIXO
TRX0000034,ACC00002,,BOLETO,1282.98,2026-04-01T11:35:37,APP,Carla Souza,764.854.420-58,1574.0,8027.31,ATIVA,MEDIO,9831.36,APROVADA,APROVADA,1282.98,False,False,False,False,False,12.25,BAIXO
